"repo","dependency","version","type","license","risk"
"backend","@aws-sdk/client-s3","^3.1048.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","@googlemaps/google-maps-services-js","^3.3.37","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","cors","^2.8.5","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","csv-parse","^5.5.6","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","dotenv","^16.3.1","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","express","^4.22.2","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","pg","^8.20.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"backend","unzipper","^0.12.5","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","@react-native-async-storage/async-storage","2.2.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","@react-navigation/native","^7.2.1","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","@react-navigation/native-stack","^7.14.9","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo","~55.0.27","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-camera","~55.0.20","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-dev-client","~55.0.36","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-file-system","~55.0.23","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-image-picker","~55.0.21","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-location","~55.1.11","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-secure-store","~55.0.15","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-speech","~55.0.15","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","expo-status-bar","~55.0.6","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react","19.2.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-dom","19.2.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native","0.83.6","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-bluetooth-classic","^1.73.0-rc.17","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-maps","1.27.2","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-safe-area-context","~5.6.2","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-screens","~4.23.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-signature-canvas","^5.0.2","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-web","^0.21.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native-webview","13.16.0","dependencies","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","shell-quote","1.9.0","overrides","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","react-native","@{ws=7.5.11}","overrides","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
"mobile","metro","@{ws=7.5.11}","overrides","not-verified-in-this-pass","see DEPENDENCY_LICENSE_AUDIT.md"
