"id","title","phase","blocking","severity","category","file"
"TSR-AUD-001","Organization tenant key absent from current schema","Phase 1-3","Yes","Critical","Database","bridge-api/db/postgres.js:91"
"TSR-AUD-002","API endpoints are not under versioned /api/v1 namespace and lack verified Organization scope","Phase 5","Yes","Critical","API","bridge-api/routes/*.js"
"TSR-AUD-003","Offline queues are driver-scoped but not Organization-scoped","Phase 8","Yes","High","Mobile","C:\dev\tsr-mobile\src\app\services\*OfflineStore.js"
"TSR-AUD-004","Driver authentication lacks Organization claims","Phase 3","Yes","High","Auth","bridge-api/services/driverAuth.js:79"
"TSR-AUD-005","Local production verification fails on placeholder DATABASE_URL and missing CORS_ORIGIN","Phase 0","Pilot","High","DevOps","bridge-api/scripts/verify-production-config.cjs"
"TSR-AUD-006","Places proxy endpoints are public and require terms/rate/tenant review","Phase 0","Pilot","High","Security","bridge-api/routes/places.js:824"
"TSR-AUD-007","Large route modules combine page rendering, business logic, API handling, and data shaping","Phase 0","No","Medium","Architecture","bridge-api/routes/routing.js:1"
"TSR-AUD-008","Mobile npm audit reports 1 low and 11 moderate advisories","Phase 0","Pilot","Medium","Dependency","C:\dev\tsr-mobile\package-lock.json"
"TSR-AUD-009","Large/static hazard datasets and route scoring require scale testing","Phase 12","No","Medium","Performance","bridge-api/data/low_clearance_bridges.json"
"TSR-AUD-010","Backend has contract tests; mobile automated test coverage not verified","Phase 0","Pilot","Medium","Testing","bridge-api/package.json"
"TSR-AUD-011","Mobile source has many untracked files and no remote","Phase 0","No","Low","Repository","C:\dev\tsr-mobile"
"TSR-AUD-012","Project status file is untracked and architecture governance docs are uncommitted","Phase 0","No","Low","Documentation","PROJECT_STATUS.md"
